Date,AAPL,BA,CME,CVX,GS,IBM,MON,TEVA,XOM
2007-01-03,10.904162,69.466845,75.16646,49.919911,178.639087,78.354649,44.447583,25.775848,57.292725
2007-01-04,11.146187,69.747299,75.712604,49.434567,176.974808,79.192409,43.682135,26.089181,56.218148
2007-01-05,11.066813,69.451267,76.067594,49.624486,177.152803,78.475481,44.051959,26.559182,56.620146
2007-01-08,11.121465,69.287669,76.876752,50.257537,181.317957,79.66768,43.475721,27.111641,56.164033
2007-01-09,12.045326,68.555371,77.32085,49.680754,181.629459,80.610157,43.174703,27.062166,55.731106
2007-01-10,12.621762,69.544747,79.531293,48.822617,185.216124,79.659623,42.873682,27.119885,54.880723
2007-01-11,12.465618,69.209761,80.005572,48.316172,188.571395,79.466295,43.002692,26.9055,54.872996
2007-01-12,12.312074,68.656644,82.496272,49.483804,190.449278,80.022112,43.991755,26.987955,56.171765
2007-01-16,12.634775,68.555371,81.88545,49.005496,190.093273,81.214311,46.16769,27.128133,55.375491
2007-01-17,12.355014,69.201975,83.646044,49.814401,189.772876,80.569878,46.63212,27.111641,56.017147
2007-01-18,11.589901,68.555371,82.999295,49.884739,186.613403,80.110722,46.451506,27.977432,55.630608
2007-01-19,11.515732,69.046163,82.974865,50.869492,187.469216,77.468559,46.709525,28.175325,56.844339
2007-01-22,11.293224,66.685678,81.921382,50.095759,189.858389,78.225767,45.849471,28.604099,56.357302
2007-01-23,11.151392,68.056787,83.983791,51.038306,189.564199,78.201601,47.28576,28.826731,57.586492
2007-01-24,11.281514,68.243755,85.017147,51.235255,196.214642,78.459373,48.197418,28.637082,57.903456
2007-01-25,11.222959,67.121944,83.21488,50.306775,189.947542,78.547983,47.165353,28.364978,56.836606
2007-01-26,11.109753,66.553243,84.631976,50.292709,190.330872,78.499646,47.853395,28.538135,56.906186
2007-01-29,11.182621,66.607776,82.762153,50.31381,188.137826,79.377686,47.457771,28.661818,56.589222
2007-01-30,11.131875,66.997295,81.669871,51.397038,186.123087,80.046284,47.31156,28.661818,57.509185
2007-01-31,11.155296,69.770669,80.95845,51.263392,189.136292,79.869064,47.380366,28.942169,57.284992
2007-02-01,11.026476,70.931441,83.045288,52.381792,188.993652,79.748232,47.165353,29.214277,58.04261
2007-02-02,11.027777,70.152402,83.200505,52.079332,190.268461,79.885172,47.77599,29.123574,58.398225
2007-02-05,10.922379,70.674356,83.013665,51.896448,189.483969,80.859872,46.700923,28.900942,58.498722
2007-02-06,10.949704,70.876908,83.226377,51.608059,191.356068,80.432938,46.967541,28.760768,58.336377
2007-02-07,11.209947,70.657932,84.414955,51.094578,190.375448,80.424865,46.97614,28.711293,58.06465
2007-02-08,11.213851,70.008832,83.960792,51.875347,190.687458,80.489503,46.63212,28.785503,58.584816
2007-02-09,10.835198,70.384217,82.388479,51.572887,190.134745,79.624981,46.63212,28.859714,58.398489
2007-02-12,11.044693,69.758577,81.059054,50.869492,188.21807,79.649219,46.236493,29.156558,57.917138
2007-02-13,11.021272,69.828964,82.208827,51.228225,189.466135,79.414908,46.829932,30.467613,58.57705
2007-02-14,11.099344,70.337296,82.352547,51.143211,193.807636,80.150153,47.948001,31.300421,58.693507
2007-02-15,11.087633,71.721516,82.29362,50.555194,193.29059,79.923924,47.827594,30.838667,58.491649
